Geographic Area,County,State,Abbreviation,2019 Population _ Census
"Platte County, Missouri",Platte, Missouri, MissouriPlatte,104418
"Polk County, Missouri",Polk, Missouri, MissouriPolk,32149
"Pulaski County, Missouri",Pulaski, Missouri, MissouriPulaski,52607
"Putnam County, Missouri",Putnam, Missouri, MissouriPutnam,4696
"Ralls County, Missouri",Ralls, Missouri, MissouriRalls,10309
"Randolph County, Missouri",Randolph, Missouri, MissouriRandolph,24748
"Ray County, Missouri",Ray, Missouri, MissouriRay,23018
"Reynolds County, Missouri",Reynolds, Missouri, MissouriReynolds,6270
"Ripley County, Missouri",Ripley, Missouri, MissouriRipley,13288
"St Charles County, Missouri",St, Missouri, MissouriSt,402022
"St Clair County, Missouri",St, Missouri, MissouriSt,9397
"Ste Genevieve County, Missouri",Ste, Missouri, MissouriSte,17894
"St Francois County, Missouri",St, Missouri, MissouriSt,67215
"St Louis County, Missouri",St, Missouri, MissouriSt,994205
"Saline County, Missouri",Saline, Missouri, MissouriSaline,22761
"Schuyler County, Missouri",Schuyler, Missouri, MissouriSchuyler,4660
"Scotland County, Missouri",Scotland, Missouri, MissouriScotland,4902
"Scott County, Missouri",Scott, Missouri, MissouriScott,38280
"Shannon County, Missouri",Shannon, Missouri, MissouriShannon,8166
"Shelby County, Missouri",Shelby, Missouri, MissouriShelby,5930
"Stoddard County, Missouri",Stoddard, Missouri, MissouriStoddard,29025
"Stone County, Missouri",Stone, Missouri, MissouriStone,31952
"Sullivan County, Missouri",Sullivan, Missouri, MissouriSullivan,6089
"Taney County, Missouri",Taney, Missouri, MissouriTaney,55928
"Texas County, Missouri",Texas, Missouri, MissouriTexas,25398
"Vernon County, Missouri",Vernon, Missouri, MissouriVernon,20563
"Warren County, Missouri",Warren, Missouri, MissouriWarren,35649
"Washington County, Missouri",Washington, Missouri, MissouriWashington,24730
"Wayne County, Missouri",Wayne, Missouri, MissouriWayne,12873
"Webster County, Missouri",Webster, Missouri, MissouriWebster,39592
"Worth County, Missouri",Worth, Missouri, MissouriWorth,2013
"Wright County, Missouri",Wright, Missouri, MissouriWright,18289
"St Louis city, Missouri",St, Missouri, MissouriSt,300576
"Beaverhead County, Montana",Beaverhead, Montana, MontanaBeaverhead,9453
"Big Horn County, Montana",Big, Montana, MontanaBig,13319
"Blaine County, Montana",Blaine, Montana, MontanaBlaine,6681
"Broadwater County, Montana",Broadwater, Montana, MontanaBroadwater,6237
"Carbon County, Montana",Carbon, Montana, MontanaCarbon,10725
"Carter County, Montana",Carter, Montana, MontanaCarter,1252
"Cascade County, Montana",Cascade, Montana, MontanaCascade,81366
"Chouteau County, Montana",Chouteau, Montana, MontanaChouteau,5635
"Custer County, Montana",Custer, Montana, MontanaCuster,11402
"Daniels County, Montana",Daniels, Montana, MontanaDaniels,1690
"Dawson County, Montana",Dawson, Montana, MontanaDawson,8613
"Deer Lodge County, Montana",Deer, Montana, MontanaDeer,9140
"Fallon County, Montana",Fallon, Montana, MontanaFallon,2846
"Fergus County, Montana",Fergus, Montana, MontanaFergus,11050
"Flathead County, Montana",Flathead, Montana, MontanaFlathead,103806
"Gallatin County, Montana",Gallatin, Montana, MontanaGallatin,114434
"Garfield County, Montana",Garfield, Montana, MontanaGarfield,1258
"Glacier County, Montana",Glacier, Montana, MontanaGlacier,13753
"Golden Valley County, Montana",Golden, Montana, MontanaGolden,821
"Granite County, Montana",Granite, Montana, MontanaGranite,3379
"Hill County, Montana",Hill, Montana, MontanaHill,16484
"Jefferson County, Montana",Jefferson, Montana, MontanaJefferson,12221
"Judith Basin County, Montana",Judith, Montana, MontanaJudith,2007
"Lake County, Montana",Lake, Montana, MontanaLake,30458
"Lewis and Clark County, Montana",Lewis, Montana, MontanaLewis,69432
"Liberty County, Montana",Liberty, Montana, MontanaLiberty,2337
"Lincoln County, Montana",Lincoln, Montana, MontanaLincoln,19980
"McCone County, Montana",McCone, Montana, MontanaMcCone,1664
"Madison County, Montana",Madison, Montana, MontanaMadison,8600
"Meagher County, Montana",Meagher, Montana, MontanaMeagher,1862
"Mineral County, Montana",Mineral, Montana, MontanaMineral,4397
"Missoula County, Montana",Missoula, Montana, MontanaMissoula,119600
"Musselshell County, Montana",Musselshell, Montana, MontanaMusselshell,4633
"Park County, Montana",Park, Montana, MontanaPark,16606
"Petroleum County, Montana",Petroleum, Montana, MontanaPetroleum,487
"Phillips County, Montana",Phillips, Montana, MontanaPhillips,3954
"Pondera County, Montana",Pondera, Montana, MontanaPondera,5911
"Powder River County, Montana",Powder, Montana, MontanaPowder,1682
"Powell County, Montana",Powell, Montana, MontanaPowell,6890
"Prairie County, Montana",Prairie, Montana, MontanaPrairie,1077
"Ravalli County, Montana",Ravalli, Montana, MontanaRavalli,43806
"Richland County, Montana",Richland, Montana, MontanaRichland,10803
"Roosevelt County, Montana",Roosevelt, Montana, MontanaRoosevelt,11004
"Rosebud County, Montana",Rosebud, Montana, MontanaRosebud,8937
"Sanders County, Montana",Sanders, Montana, MontanaSanders,12113
"Sheridan County, Montana",Sheridan, Montana, MontanaSheridan,3309
"Silver Bow County, Montana",Silver, Montana, MontanaSilver,34915
"Stillwater County, Montana",Stillwater, Montana, MontanaStillwater,9642
"Sweet Grass County, Montana",Sweet, Montana, MontanaSweet,3737
"Teton County, Montana",Teton, Montana, MontanaTeton,6147
"Toole County, Montana",Toole, Montana, MontanaToole,4736
"Treasure County, Montana",Treasure, Montana, MontanaTreasure,696
"Valley County, Montana",Valley, Montana, MontanaValley,7396
"Wheatland County, Montana",Wheatland, Montana, MontanaWheatland,2126
"Wibaux County, Montana",Wibaux, Montana, MontanaWibaux,969
"Yellowstone County, Montana",Yellowstone, Montana, MontanaYellowstone,161300
"Adams County, Nebraska",Adams, Nebraska, NebraskaAdams,31363
"Antelope County, Nebraska",Antelope, Nebraska, NebraskaAntelope,6298
"Arthur County, Nebraska",Arthur, Nebraska, NebraskaArthur,463
"Banner County, Nebraska",Banner, Nebraska, NebraskaBanner,745
"Blaine County, Nebraska",Blaine, Nebraska, NebraskaBlaine,465
"Boone County, Nebraska",Boone, Nebraska, NebraskaBoone,5192
"Box Butte County, Nebraska",Box, Nebraska, NebraskaBox,10783
"Boyd County, Nebraska",Boyd, Nebraska, NebraskaBoyd,1919
"Brown County, Nebraska",Brown, Nebraska, NebraskaBrown,2955
"Buffalo County, Nebraska",Buffalo, Nebraska, NebraskaBuffalo,49659
"Burt County, Nebraska",Burt, Nebraska, NebraskaBurt,6459
"Butler County, Nebraska",Butler, Nebraska, NebraskaButler,8016
"Cass County, Nebraska",Cass, Nebraska, NebraskaCass,26248
"Cedar County, Nebraska",Cedar, Nebraska, NebraskaCedar,8402
"Chase County, Nebraska",Chase, Nebraska, NebraskaChase,3924
"Cherry County, Nebraska",Cherry, Nebraska, NebraskaCherry,5689
"Cheyenne County, Nebraska",Cheyenne, Nebraska, NebraskaCheyenne,8910
"Clay County, Nebraska",Clay, Nebraska, NebraskaClay,6203
"Colfax County, Nebraska",Colfax, Nebraska, NebraskaColfax,10709
"Cuming County, Nebraska",Cuming, Nebraska, NebraskaCuming,8846
"Custer County, Nebraska",Custer, Nebraska, NebraskaCuster,10777
"Dakota County, Nebraska",Dakota, Nebraska, NebraskaDakota,20026
"Dawes County, Nebraska",Dawes, Nebraska, NebraskaDawes,8589
"Dawson County, Nebraska",Dawson, Nebraska, NebraskaDawson,23595
"Deuel County, Nebraska",Deuel, Nebraska, NebraskaDeuel,1794
"Dixon County, Nebraska",Dixon, Nebraska, NebraskaDixon,5636
"Dodge County, Nebraska",Dodge, Nebraska, NebraskaDodge,36565
"Douglas County, Nebraska",Douglas, Nebraska, NebraskaDouglas,571327
"Dundy County, Nebraska",Dundy, Nebraska, NebraskaDundy,1693
"Fillmore County, Nebraska",Fillmore, Nebraska, NebraskaFillmore,5462
"Franklin County, Nebraska",Franklin, Nebraska, NebraskaFranklin,2979
"Frontier County, Nebraska",Frontier, Nebraska, NebraskaFrontier,2627
"Furnas County, Nebraska",Furnas, Nebraska, NebraskaFurnas,4676
"Gage County, Nebraska",Gage, Nebraska, NebraskaGage,21513
"Garden County, Nebraska",Garden, Nebraska, NebraskaGarden,1837
"Garfield County, Nebraska",Garfield, Nebraska, NebraskaGarfield,1969
"Gosper County, Nebraska",Gosper, Nebraska, NebraskaGosper,1990
"Grant County, Nebraska",Grant, Nebraska, NebraskaGrant,623
"Greeley County, Nebraska",Greeley, Nebraska, NebraskaGreeley,2356
"Hall County, Nebraska",Hall, Nebraska, NebraskaHall,61353
"Hamilton County, Nebraska",Hamilton, Nebraska, NebraskaHamilton,9324
"Harlan County, Nebraska",Harlan, Nebraska, NebraskaHarlan,3380
"Hayes County, Nebraska",Hayes, Nebraska, NebraskaHayes,922
"Hitchcock County, Nebraska",Hitchcock, Nebraska, NebraskaHitchcock,2762
"Holt County, Nebraska",Holt, Nebraska, NebraskaHolt,10067
"Hooker County, Nebraska",Hooker, Nebraska, NebraskaHooker,682
"Howard County, Nebraska",Howard, Nebraska, NebraskaHoward,6445
"Jefferson County, Nebraska",Jefferson, Nebraska, NebraskaJefferson,7046
"Johnson County, Nebraska",Johnson, Nebraska, NebraskaJohnson,5071
"Kearney County, Nebraska",Kearney, Nebraska, NebraskaKearney,6495
"Keith County, Nebraska",Keith, Nebraska, NebraskaKeith,8034
"Keya Paha County, Nebraska",Keya, Nebraska, NebraskaKeya,806
"Kimball County, Nebraska",Kimball, Nebraska, NebraskaKimball,3632
"Knox County, Nebraska",Knox, Nebraska, NebraskaKnox,8332
"Lancaster County, Nebraska",Lancaster, Nebraska, NebraskaLancaster,319090
"Lincoln County, Nebraska",Lincoln, Nebraska, NebraskaLincoln,34914
"Logan County, Nebraska",Logan, Nebraska, NebraskaLogan,748
"Loup County, Nebraska",Loup, Nebraska, NebraskaLoup,664
"McPherson County, Nebraska",McPherson, Nebraska, NebraskaMcPherson,494
"Madison County, Nebraska",Madison, Nebraska, NebraskaMadison,35099
"Merrick County, Nebraska",Merrick, Nebraska, NebraskaMerrick,7755
"Morrill County, Nebraska",Morrill, Nebraska, NebraskaMorrill,4642
"Nance County, Nebraska",Nance, Nebraska, NebraskaNance,3519
"Nemaha County, Nebraska",Nemaha, Nebraska, NebraskaNemaha,6972
"Nuckolls County, Nebraska",Nuckolls, Nebraska, NebraskaNuckolls,4148
"Otoe County, Nebraska",Otoe, Nebraska, NebraskaOtoe,16012
"Pawnee County, Nebraska",Pawnee, Nebraska, NebraskaPawnee,2613
"Perkins County, Nebraska",Perkins, Nebraska, NebraskaPerkins,2891
"Phelps County, Nebraska",Phelps, Nebraska, NebraskaPhelps,9034
"Pierce County, Nebraska",Pierce, Nebraska, NebraskaPierce,7148
"Platte County, Nebraska",Platte, Nebraska, NebraskaPlatte,33470
"Polk County, Nebraska",Polk, Nebraska, NebraskaPolk,5213
"Red Willow County, Nebraska",Red, Nebraska, NebraskaRed,10724
"Richardson County, Nebraska",Richardson, Nebraska, NebraskaRichardson,7865
"Rock County, Nebraska",Rock, Nebraska, NebraskaRock,1357
"Saline County, Nebraska",Saline, Nebraska, NebraskaSaline,14224
"Sarpy County, Nebraska",Sarpy, Nebraska, NebraskaSarpy,187196
"Saunders County, Nebraska",Saunders, Nebraska, NebraskaSaunders,21578
"Scotts Bluff County, Nebraska",Scotts, Nebraska, NebraskaScotts,35618
"Seward County, Nebraska",Seward, Nebraska, NebraskaSeward,17284
"Sheridan County, Nebraska",Sheridan, Nebraska, NebraskaSheridan,5246
"Sherman County, Nebraska",Sherman, Nebraska, NebraskaSherman,3001
"Sioux County, Nebraska",Sioux, Nebraska, NebraskaSioux,1166
"Stanton County, Nebraska",Stanton, Nebraska, NebraskaStanton,5920
"Thayer County, Nebraska",Thayer, Nebraska, NebraskaThayer,5003
"Thomas County, Nebraska",Thomas, Nebraska, NebraskaThomas,722
"Thurston County, Nebraska",Thurston, Nebraska, NebraskaThurston,7224
"Valley County, Nebraska",Valley, Nebraska, NebraskaValley,4158
"Washington County, Nebraska",Washington, Nebraska, NebraskaWashington,20729
"Wayne County, Nebraska",Wayne, Nebraska, NebraskaWayne,9385
"Webster County, Nebraska",Webster, Nebraska, NebraskaWebster,3487
"Wheeler County, Nebraska",Wheeler, Nebraska, NebraskaWheeler,783
"York County, Nebraska",York, Nebraska, NebraskaYork,13679
"Churchill County, Nevada",Churchill, Nevada, NevadaChurchill,24909
"Clark County, Nevada",Clark, Nevada, NevadaClark,2266715
"Douglas County, Nevada",Douglas, Nevada, NevadaDouglas,48905
"Elko County, Nevada",Elko, Nevada, NevadaElko,52778
"Esmeralda County, Nevada",Esmeralda, Nevada, NevadaEsmeralda,873
"Eureka County, Nevada",Eureka, Nevada, NevadaEureka,2029
"Humboldt County, Nevada",Humboldt, Nevada, NevadaHumboldt,16831
"Lander County, Nevada",Lander, Nevada, NevadaLander,5532
"Lincoln County, Nevada",Lincoln, Nevada, NevadaLincoln,5183
"Lyon County, Nevada",Lyon, Nevada, NevadaLyon,57510
"Mineral County, Nevada",Mineral, Nevada, NevadaMineral,4505
"Nye County, Nevada",Nye, Nevada, NevadaNye,46523
"Pershing County, Nevada",Pershing, Nevada, NevadaPershing,6725
"Storey County, Nevada",Storey, Nevada, NevadaStorey,4123
"Washoe County, Nevada",Washoe, Nevada, NevadaWashoe,471519
"White Pine County, Nevada",White, Nevada, NevadaWhite,9580
"Carson City, Nevada",Carson, Nevada, NevadaCarson,55916
"Belknap County, New Hampshire",Belknap, New Hampshire, New HampshireBelknap,61303
"Carroll County, New Hampshire",Carroll, New Hampshire, New HampshireCarroll,48910
"Cheshire County, New Hampshire",Cheshire, New Hampshire, New HampshireCheshire,76085
"Coos County, New Hampshire",Coos, New Hampshire, New HampshireCoos,31563
"Grafton County, New Hampshire",Grafton, New Hampshire, New HampshireGrafton,89886
"Hillsborough County, New Hampshire",Hillsborough, New Hampshire, New HampshireHillsborough,417025
"Merrimack County, New Hampshire",Merrimack, New Hampshire, New HampshireMerrimack,151391
"Rockingham County, New Hampshire",Rockingham, New Hampshire, New HampshireRockingham,309769
"Strafford County, New Hampshire",Strafford, New Hampshire, New HampshireStrafford,130633
"Sullivan County, New Hampshire",Sullivan, New Hampshire, New HampshireSullivan,43146
"Atlantic County, New Jersey",Atlantic, New Jersey, New JerseyAtlantic,263670
"Bergen County, New Jersey",Bergen, New Jersey, New JerseyBergen,932202
"Burlington County, New Jersey",Burlington, New Jersey, New JerseyBurlington,445349
"Camden County, New Jersey",Camden, New Jersey, New JerseyCamden,506471
"Cape May County, New Jersey",Cape, New Jersey, New JerseyCape,92039
"Cumberland County, New Jersey",Cumberland, New Jersey, New JerseyCumberland,149527
"Essex County, New Jersey",Essex, New Jersey, New JerseyEssex,798975
"Gloucester County, New Jersey",Gloucester, New Jersey, New JerseyGloucester,291636
"Hudson County, New Jersey",Hudson, New Jersey, New JerseyHudson,672391
"Hunterdon County, New Jersey",Hunterdon, New Jersey, New JerseyHunterdon,124371
"Mercer County, New Jersey",Mercer, New Jersey, New JerseyMercer,367430
"Middlesex County, New Jersey",Middlesex, New Jersey, New JerseyMiddlesex,825062
"Monmouth County, New Jersey",Monmouth, New Jersey, New JerseyMonmouth,618795
"Morris County, New Jersey",Morris, New Jersey, New JerseyMorris,491845
"Ocean County, New Jersey",Ocean, New Jersey, New JerseyOcean,607186
"Passaic County, New Jersey",Passaic, New Jersey, New JerseyPassaic,501826
"Salem County, New Jersey",Salem, New Jersey, New JerseySalem,62385
"Somerset County, New Jersey",Somerset, New Jersey, New JerseySomerset,328934
"Sussex County, New Jersey",Sussex, New Jersey, New JerseySussex,140488
"Union County, New Jersey",Union, New Jersey, New JerseyUnion,556341
"Warren County, New Jersey",Warren, New Jersey, New JerseyWarren,105267
"Bernalillo County, New Mexico",Bernalillo, New Mexico, New MexicoBernalillo,679121
"Catron County, New Mexico",Catron, New Mexico, New MexicoCatron,3527
"Chaves County, New Mexico",Chaves, New Mexico, New MexicoChaves,64615
"Cibola County, New Mexico",Cibola, New Mexico, New MexicoCibola,26675
"Colfax County, New Mexico",Colfax, New Mexico, New MexicoColfax,11941
"Curry County, New Mexico",Curry, New Mexico, New MexicoCurry,48954
"De Baca County, New Mexico",De, New Mexico, New MexicoDe,1748
"Do–a Ana County, New Mexico",Do–a, New Mexico, New MexicoDo–a,218195
"Eddy County, New Mexico",Eddy, New Mexico, New MexicoEddy,58460
"Grant County, New Mexico",Grant, New Mexico, New MexicoGrant,26998
"Guadalupe County, New Mexico",Guadalupe, New Mexico, New MexicoGuadalupe,4300
"Harding County, New Mexico",Harding, New Mexico, New MexicoHarding,625
"Hidalgo County, New Mexico",Hidalgo, New Mexico, New MexicoHidalgo,4198
"Lea County, New Mexico",Lea, New Mexico, New MexicoLea,71070
"Lincoln County, New Mexico",Lincoln, New Mexico, New MexicoLincoln,19572
"Los Alamos County, New Mexico",Los, New Mexico, New MexicoLos,19369
"Luna County, New Mexico",Luna, New Mexico, New MexicoLuna,23709
"McKinley County, New Mexico",McKinley, New Mexico, New MexicoMcKinley,71367
"Mora County, New Mexico",Mora, New Mexico, New MexicoMora,4521
"Otero County, New Mexico",Otero, New Mexico, New MexicoOtero,67490
"Quay County, New Mexico",Quay, New Mexico, New MexicoQuay,8253
"Rio Arriba County, New Mexico",Rio, New Mexico, New MexicoRio,38921
"Roosevelt County, New Mexico",Roosevelt, New Mexico, New MexicoRoosevelt,18500
"Sandoval County, New Mexico",Sandoval, New Mexico, New MexicoSandoval,146748
"San Juan County, New Mexico",SanJuan, New Mexico, New MexicoSanJuan,123958
"San Miguel County, New Mexico",SanMiguel, New Mexico, New MexicoSanMiguel,27277
"Santa Fe County, New Mexico",Santa, New Mexico, New MexicoSanta,150358
"Sierra County, New Mexico",Sierra, New Mexico, New MexicoSierra,10791
"Socorro County, New Mexico",Socorro, New Mexico, New MexicoSocorro,16637
"Taos County, New Mexico",Taos, New Mexico, New MexicoTaos,32723
"Torrance County, New Mexico",Torrance, New Mexico, New MexicoTorrance,15461
"Union County, New Mexico",Union, New Mexico, New MexicoUnion,4059
"Valencia County, New Mexico",Valencia, New Mexico, New MexicoValencia,76688
"Albany County, New York",Albany, New York, New YorkAlbany,305506
"Allegany County, New York",Allegany, New York, New YorkAllegany,46091
"Bronx County, New York",Bronx, New York, New YorkBronx,1418207
"Broome County, New York",Broome, New York, New YorkBroome,190488
"Cattaraugus County, New York",Cattaraugus, New York, New YorkCattaraugus,76117
"Cayuga County, New York",Cayuga, New York, New YorkCayuga,76576
"Chautauqua County, New York",Chautauqua, New York, New YorkChautauqua,126903
"Chemung County, New York",Chemung, New York, New YorkChemung,83456
"Chenango County, New York",Chenango, New York, New YorkChenango,47207
"Clinton County, New York",Clinton, New York, New YorkClinton,80485
"Columbia County, New York",Columbia, New York, New YorkColumbia,59461
"Cortland County, New York",Cortland, New York, New YorkCortland,47581
"Delaware County, New York",Delaware, New York, New YorkDelaware,44135
"Dutchess County, New York",Dutchess, New York, New YorkDutchess,294218
"Erie County, New York",Erie, New York, New YorkErie,918702
"Essex County, New York",Essex, New York, New YorkEssex,36885
"Franklin County, New York",Franklin, New York, New YorkFranklin,50022
"Fulton County, New York",Fulton, New York, New YorkFulton,53383
"Genesee County, New York",Genesee, New York, New YorkGenesee,57280
"Greene County, New York",Greene, New York, New YorkGreene,47188
"Hamilton County, New York",Hamilton, New York, New YorkHamilton,4416
"Herkimer County, New York",Herkimer, New York, New YorkHerkimer,61319
"Jefferson County, New York",Jefferson, New York, New YorkJefferson,109834
"Kings County, New York",Kings, New York, New YorkKings,2559903
"Lewis County, New York",Lewis, New York, New YorkLewis,26296
"Livingston County, New York",Livingston, New York, New YorkLivingston,62914
"Madison County, New York",Madison, New York, New YorkMadison,70941
"Monroe County, New York",Monroe, New York, New YorkMonroe,741770
"Montgomery County, New York",Montgomery, New York, New YorkMontgomery,49221
"Nassau County, New York",Nassau, New York, New YorkNassau,1356924
"New York County, New York",New, New York, New YorkNew,1628706
"Niagara County, New York",Niagara, New York, New YorkNiagara,209281
"Oneida County, New York",Oneida, New York, New YorkOneida,228671
"Onondaga County, New York",Onondaga, New York, New YorkOnondaga,460528
"Ontario County, New York",Ontario, New York, New YorkOntario,109777
"Orange County, New York",Orange, New York, New YorkOrange,384940
"Orleans County, New York",Orleans, New York, New YorkOrleans,40352
"Oswego County, New York",Oswego, New York, New YorkOswego,117124
"Otsego County, New York",Otsego, New York, New YorkOtsego,59493
"Putnam County, New York",Putnam, New York, New YorkPutnam,98320
"Queens County, New York",Queens, New York, New YorkQueens,2253858
"Rensselaer County, New York",Rensselaer, New York, New YorkRensselaer,158714
"Richmond County, New York",Richmond, New York, New YorkRichmond,476143
"Rockland County, New York",Rockland, New York, New YorkRockland,325789
"St Lawrence County, New York",St, New York, New YorkSt,107740
"Saratoga County, New York",Saratoga, New York, New YorkSaratoga,229863
"Schenectady County, New York",Schenectady, New York, New YorkSchenectady,155299
"Schoharie County, New York",Schoharie, New York, New YorkSchoharie,30999
"Schuyler County, New York",Schuyler, New York, New YorkSchuyler,17807
"Seneca County, New York",Seneca, New York, New YorkSeneca,34016
"Steuben County, New York",Steuben, New York, New YorkSteuben,95379
"Suffolk County, New York",Suffolk, New York, New YorkSuffolk,1476601
"Sullivan County, New York",Sullivan, New York, New YorkSullivan,75432
"Tioga County, New York",Tioga, New York, New YorkTioga,48203
"Tompkins County, New York",Tompkins, New York, New YorkTompkins,102180
"Ulster County, New York",Ulster, New York, New YorkUlster,177573
"Warren County, New York",Warren, New York, New YorkWarren,63944
"Washington County, New York",Washington, New York, New YorkWashington,61204
"Wayne County, New York",Wayne, New York, New YorkWayne,89918
"Westchester County, New York",Westchester, New York, New YorkWestchester,967506
"Wyoming County, New York",Wyoming, New York, New YorkWyoming,39859
"Yates County, New York",Yates, New York, New YorkYates,24913
"Alamance County, North Carolina",Alamance, North Carolina, North CarolinaAlamance,169509
"Alexander County, North Carolina",Alexander, North Carolina, North CarolinaAlexander,37497
"Alleghany County, North Carolina",Alleghany, North Carolina, North CarolinaAlleghany,11137
"Anson County, North Carolina",Anson, North Carolina, North CarolinaAnson,24446
"Ashe County, North Carolina",Ashe, North Carolina, North CarolinaAshe,27203
"Avery County, North Carolina",Avery, North Carolina, North CarolinaAvery,17557
"Beaufort County, North Carolina",Beaufort, North Carolina, North CarolinaBeaufort,46994
"Bertie County, North Carolina",Bertie, North Carolina, North CarolinaBertie,18947
"Bladen County, North Carolina",Bladen, North Carolina, North CarolinaBladen,32722
"Brunswick County, North Carolina",Brunswick, North Carolina, North CarolinaBrunswick,142820
"Buncombe County, North Carolina",Buncombe, North Carolina, North CarolinaBuncombe,261191
"Burke County, North Carolina",Burke, North Carolina, North CarolinaBurke,90485
"Cabarrus County, North Carolina",Cabarrus, North Carolina, North CarolinaCabarrus,216453
"Caldwell County, North Carolina",Caldwell, North Carolina, North CarolinaCaldwell,82178
"Camden County, North Carolina",Camden, North Carolina, North CarolinaCamden,10867
"Carteret County, North Carolina",Carteret, North Carolina, North CarolinaCarteret,69473
"Caswell County, North Carolina",Caswell, North Carolina, North CarolinaCaswell,22604
"Catawba County, North Carolina",Catawba, North Carolina, North CarolinaCatawba,159551
"Chatham County, North Carolina",Chatham, North Carolina, North CarolinaChatham,74470
"Cherokee County, North Carolina",Cherokee, North Carolina, North CarolinaCherokee,28612
"Chowan County, North Carolina",Chowan, North Carolina, North CarolinaChowan,13943
"Clay County, North Carolina",Clay, North Carolina, North CarolinaClay,11231
"Cleveland County, North Carolina",Cleveland, North Carolina, North CarolinaCleveland,97947
"Columbus County, North Carolina",Columbus, North Carolina, North CarolinaColumbus,55508
"Craven County, North Carolina",Craven, North Carolina, North CarolinaCraven,102139
"Cumberland County, North Carolina",Cumberland, North Carolina, North CarolinaCumberland,335509
"Currituck County, North Carolina",Currituck, North Carolina, North CarolinaCurrituck,27763
"Dare County, North Carolina",Dare, North Carolina, North CarolinaDare,37009
"Davidson County, North Carolina",Davidson, North Carolina, North CarolinaDavidson,167609
"Davie County, North Carolina",Davie, North Carolina, North CarolinaDavie,42846
"Duplin County, North Carolina",Duplin, North Carolina, North CarolinaDuplin,58741
"Durham County, North Carolina",Durham, North Carolina, North CarolinaDurham,321488
"Edgecombe County, North Carolina",Edgecombe, North Carolina, North CarolinaEdgecombe,51472
"Forsyth County, North Carolina",Forsyth, North Carolina, North CarolinaForsyth,382295
"Franklin County, North Carolina",Franklin, North Carolina, North CarolinaFranklin,69685
"Gaston County, North Carolina",Gaston, North Carolina, North CarolinaGaston,224529
"Gates County, North Carolina",Gates, North Carolina, North CarolinaGates,11562
"Graham County, North Carolina",Graham, North Carolina, North CarolinaGraham,8441
"Granville County, North Carolina",Granville, North Carolina, North CarolinaGranville,60443
"Greene County, North Carolina",Greene, North Carolina, North CarolinaGreene,21069
"Guilford County, North Carolina",Guilford, North Carolina, North CarolinaGuilford,537174
"Halifax County, North Carolina",Halifax, North Carolina, North CarolinaHalifax,50010
"Harnett County, North Carolina",Harnett, North Carolina, North CarolinaHarnett,135976
"Haywood County, North Carolina",Haywood, North Carolina, North CarolinaHaywood,62317
"Henderson County, North Carolina",Henderson, North Carolina, North CarolinaHenderson,117417
"Hertford County, North Carolina",Hertford, North Carolina, North CarolinaHertford,23677
"Hoke County, North Carolina",Hoke, North Carolina, North CarolinaHoke,55234
"Hyde County, North Carolina",Hyde, North Carolina, North CarolinaHyde,4937
"Iredell County, North Carolina",Iredell, North Carolina, North CarolinaIredell,181806
"Jackson County, North Carolina",Jackson, North Carolina, North CarolinaJackson,43938
"Johnston County, North Carolina",Johnston, North Carolina, North CarolinaJohnston,209339
"Jones County, North Carolina",Jones, North Carolina, North CarolinaJones,9419
"Lee County, North Carolina",Lee, North Carolina, North CarolinaLee,61779
"Lenoir County, North Carolina",Lenoir, North Carolina, North CarolinaLenoir,55949
"Lincoln County, North Carolina",Lincoln, North Carolina, North CarolinaLincoln,86111
"McDowell County, North Carolina",McDowell, North Carolina, North CarolinaMcDowell,45756
"Macon County, North Carolina",Macon, North Carolina, North CarolinaMacon,35858
"Madison County, North Carolina",Madison, North Carolina, North CarolinaMadison,21755
"Martin County, North Carolina",Martin, North Carolina, North CarolinaMartin,22440
"Mecklenburg County, North Carolina",Mecklenburg, North Carolina, North CarolinaMecklenburg,1110356
"Mitchell County, North Carolina",Mitchell, North Carolina, North CarolinaMitchell,14964
"Montgomery County, North Carolina",Montgomery, North Carolina, North CarolinaMontgomery,27173
"Moore County, North Carolina",Moore, North Carolina, North CarolinaMoore,100880
"Nash County, North Carolina",Nash, North Carolina, North CarolinaNash,94298
"New Hanover County, North Carolina",New, North Carolina, North CarolinaNew,234473
"Northampton County, North Carolina",Northampton, North Carolina, North CarolinaNorthampton,19483
"Onslow County, North Carolina",Onslow, North Carolina, North CarolinaOnslow,197938
"Orange County, North Carolina",Orange, North Carolina, North CarolinaOrange,148476
"Pamlico County, North Carolina",Pamlico, North Carolina, North CarolinaPamlico,12726
"Pasquotank County, North Carolina",Pasquotank, North Carolina, North CarolinaPasquotank,39824
"Pender County, North Carolina",Pender, North Carolina, North CarolinaPender,63060
"Perquimans County, North Carolina",Perquimans, North Carolina, North CarolinaPerquimans,13463
"Person County, North Carolina",Person, North Carolina, North CarolinaPerson,39490
"Pitt County, North Carolina",Pitt, North Carolina, North CarolinaPitt,180742
"Polk County, North Carolina",Polk, North Carolina, North CarolinaPolk,20724
"Randolph County, North Carolina",Randolph, North Carolina, North CarolinaRandolph,143667
"Richmond County, North Carolina",Richmond, North Carolina, North CarolinaRichmond,44829
"Robeson County, North Carolina",Robeson, North Carolina, North CarolinaRobeson,130625
"Rockingham County, North Carolina",Rockingham, North Carolina, North CarolinaRockingham,91010
